Complexity metrics,sexta, 7 nov. 2025 19:17:00 WET
Method,CogC,ev(G),iv(G),v(G)
mindustry.ai.types.MissileAI.updateMovement(),7,1,7,10
"mindustry.ai.types.PrebuildAI.canBuild(CoreBuild, Block)",1,1,3,3
mindustry.ai.types.PrebuildAI.doMining(),56,7,22,29
mindustry.ai.types.PrebuildAI.findNextPlan(),6,3,4,7
mindustry.ai.types.PrebuildAI.sortPlans(Queue<BlockPlan>),1,1,2,2
mindustry.ai.types.PrebuildAI.updateMovement(),28,1,22,23
mindustry.ai.types.RepairAI.updateMovement(),25,1,14,16
mindustry.ai.types.RepairAI.updateTargeting(),5,1,3,4
"mindustry.ai.types.SuicideAI.target(float, float, float, boolean, boolean)",2,1,1,3
mindustry.ai.types.SuicideAI.updateUnit(),45,4,16,28
"mindustry.annotations.Annotations.Loc.Loc(boolean, boolean)",0,1,1,1
"mindustry.annotations.Annotations.Variant.Variant(boolean, boolean)",0,1,1,1
mindustry.annotations.BaseProcessor.elements(Class<? extends Annotation>),0,1,1,1
mindustry.annotations.BaseProcessor.err(String),0,1,1,1
"mindustry.annotations.BaseProcessor.err(String, Element)",0,1,1,1
"mindustry.annotations.BaseProcessor.err(String, Selement)",0,1,1,1
mindustry.annotations.BaseProcessor.fields(Class<? extends Annotation>),0,1,1,1
mindustry.annotations.BaseProcessor.getDefault(String),1,3,1,3
mindustry.annotations.BaseProcessor.getMethodName(Element),0,1,1,1
mindustry.annotations.BaseProcessor.getSupportedSourceVersion(),0,1,1,1
mindustry.annotations.BaseProcessor.getTVN(TypeParameterElement),1,1,2,2
mindustry.annotations.BaseProcessor.init(ProcessingEnvironment),1,1,1,2
"mindustry.annotations.BaseProcessor.instanceOf(String, String)",1,1,3,3
mindustry.annotations.BaseProcessor.isPrimitive(String),1,1,8,8
mindustry.annotations.BaseProcessor.methods(Class<? extends Annotation>),0,1,1,1
mindustry.annotations.BaseProcessor.process(RoundEnvironment),0,1,1,1
"mindustry.annotations.BaseProcessor.process(Set<? extends TypeElement>, RoundEnvironment)",7,3,4,6
mindustry.annotations.BaseProcessor.simpleName(String),1,1,2,2
mindustry.annotations.BaseProcessor.tname(Class<?>),0,1,1,1
mindustry.annotations.BaseProcessor.tname(String),1,2,2,2
"mindustry.annotations.BaseProcessor.tname(String, String)",0,1,1,1
mindustry.annotations.BaseProcessor.typeSize(String),1,5,1,5
mindustry.annotations.BaseProcessor.types(Class<? extends Annotation>),0,1,1,1
mindustry.annotations.BaseProcessor.write(Builder),0,1,1,1
"mindustry.annotations.BaseProcessor.write(Builder, Seq<String>)",11,1,5,5
"mindustry.annotations.entity.EntityIO.EntityIO(String, Builder, Seq<FieldSpec>, ClassSerializer, Fi)",8,1,9,9
mindustry.annotations.entity.EntityIO.Revision.Revision(),0,1,1,1
"mindustry.annotations.entity.EntityIO.Revision.Revision(int, Seq<RevisionField>)",0,1,1,1
mindustry.annotations.entity.EntityIO.Revision.equal(Seq<FieldSpec>),4,4,2,4
mindustry.annotations.entity.EntityIO.RevisionField.RevisionField(),0,1,1,1
"mindustry.annotations.entity.EntityIO.RevisionField.RevisionField(String, String)",0,1,1,1
"mindustry.annotations.entity.EntityIO.cont(String, Object...)",0,1,1,1
mindustry.annotations.entity.EntityIO.econt(),0,1,1,1
"mindustry.annotations.entity.EntityIO.io(String, String, boolean)",48,1,28,28
"mindustry.annotations.entity.EntityIO.ncont(String, Object...)",0,1,1,1
"mindustry.annotations.entity.EntityIO.s(String, String)",2,1,2,2
"mindustry.annotations.entity.EntityIO.st(String, Object...)",0,1,1,1
"mindustry.annotations.entity.EntityIO.write(Builder, boolean)",17,1,6,7
"mindustry.annotations.entity.EntityIO.writeInterpolate(Builder, Seq<Svar>)",6,1,3,5
"mindustry.annotations.entity.EntityIO.writeSync(Builder, boolean, Seq<Svar>)",30,6,10,13
"mindustry.annotations.entity.EntityIO.writeSyncManual(Builder, boolean, Seq<Svar>)",6,1,4,4
"mindustry.annotations.entity.EntityProcess.EntityDefinition.EntityDefinition(String, Builder, Selement, TypeName, Seq<Stype>, Seq<GroupDefinition>, Seq<FieldSpec>, ...)",0,1,1,1
mindustry.annotations.entity.EntityProcess.EntityDefinition.toString(),0,1,1,1
"mindustry.annotations.entity.EntityProcess.GroupDefinition.GroupDefinition(String, ClassName, Seq<Stype>, boolean, boolean, boolean)",0,1,1,1
mindustry.annotations.entity.EntityProcess.GroupDefinition.toString(),0,1,1,1
mindustry.annotations.entity.EntityProcess.allComponents(Selement<?>),9,4,5,5
mindustry.annotations.entity.EntityProcess.baseName(Stype),1,1,2,2
mindustry.annotations.entity.EntityProcess.createName(Selement<?>),0,1,1,1
mindustry.annotations.entity.EntityProcess.getDependencies(Stype),6,1,4,4
mindustry.annotations.entity.EntityProcess.getImports(Element),0,1,1,1
mindustry.annotations.entity.EntityProcess.interfaceName(Stype),1,1,2,2
mindustry.annotations.entity.EntityProcess.interfaceToComp(Stype),0,1,1,1
mindustry.annotations.entity.EntityProcess.isCompInterface(Stype),0,1,1,1
mindustry.annotations.entity.EntityProcess.process(RoundEnvironment),571,32,164,187
mindustry.annotations.entity.EntityProcess.skipDeprecated(Builder),0,1,1,1
"mindustry.annotations.entity.EntityProcess.types(T, Cons<T>)",1,1,2,2
mindustry.annotations.impl.AssetsProcess.capitalize(String),10,1,6,7
mindustry.annotations.impl.AssetsProcess.process(RoundEnvironment),0,1,1,1
"mindustry.annotations.impl.AssetsProcess.processSounds(String, String, String, boolean)",12,1,7,8
mindustry.annotations.impl.AssetsProcess.processUI(Set<? extends Element>),15,4,6,10
"mindustry.annotations.impl.StructProcess.bitString(int, int)",2,1,3,3
"mindustry.annotations.impl.StructProcess.bitString(int, int, int)",3,1,4,4
mindustry.annotations.impl.StructProcess.process(RoundEnvironment),34,4,11,15
mindustry.annotations.impl.StructProcess.typeForSize(int),4,5,1,5
mindustry.annotations.impl.StructProcess.typeSize(TypeKind),1,5,1,5
mindustry.annotations.impl.StructProcess.varSize(Svar),6,4,6,9
"mindustry.annotations.misc.LoadRegionProcessor.count(String, String)",3,1,3,3
mindustry.annotations.misc.LoadRegionProcessor.parse(String),0,1,1,1
mindustry.annotations.misc.LoadRegionProcessor.process(RoundEnvironment),37,1,13,13
mindustry.annotations.misc.LogicStatementProcessor.process(RoundEnvironment),22,4,7,9
"mindustry.annotations.remote.CallGenerator.generate(ClassSerializer, Seq<MethodEntry>)",22,4,9,14
mindustry.annotations.remote.CallGenerator.getCheckString(Loc),7,1,1,5
"mindustry.annotations.remote.CallGenerator.makeReader(Builder, MethodEntry, ClassSerializer)",17,3,7,10
"mindustry.annotations.remote.CallGenerator.makeWriter(Builder, MethodEntry, ClassSerializer)",18,3,7,10
"mindustry.annotations.remote.CallGenerator.writeCallMethod(Builder, MethodEntry, boolean, boolean)",40,6,16,25
"mindustry.annotations.remote.CallGenerator.writeHandleMethod(MethodEntry, boolean)",4,1,3,6
"mindustry.annotations.remote.MethodEntry.MethodEntry(String, String, String, Loc, Variant, Loc, boolean, ...)",0,1,1,1
mindustry.annotations.remote.MethodEntry.hashCode(),0,1,1,1
mindustry.annotations.remote.RemoteProcess.process(RoundEnvironment),14,1,5,8
mindustry.annotations.remote.SerializerResolver.isEntity(TypeMirror),2,1,3,3
"mindustry.annotations.remote.SerializerResolver.locate(ExecutableElement, TypeMirror, boolean)",5,2,3,5
"mindustry.annotations.util.AnnotationProxyMaker.AnnotationProxyMaker(Compound, Class<? extends Annotation>)",0,1,1,1
mindustry.annotations.util.AnnotationProxyMaker.ValueVisitor.ValueVisitor(MethodSymbol),0,1,1,1
mindustry.annotations.util.AnnotationProxyMaker.ValueVisitor.getValue(Attribute),3,1,3,4
"mindustry.annotations.util.AnnotationProxyMaker.ValueVisitor.typeMismatch(Method, Attribute)",0,1,1,1
mindustry.annotations.util.AnnotationProxyMaker.ValueVisitor.visitArray(Array),16,4,4,8
mindustry.annotations.util.AnnotationProxyMaker.ValueVisitor.visitClass(Class),0,1,1,1
mindustry.annotations.util.AnnotationProxyMaker.ValueVisitor.visitCompound(Compound),1,1,1,2
mindustry.annotations.util.AnnotationProxyMaker.ValueVisitor.visitConstant(Constant),0,1,1,1
mindustry.annotations.util.AnnotationProxyMaker.ValueVisitor.visitEnum(Enum),4,1,3,3
mindustry.annotations.util.AnnotationProxyMaker.ValueVisitor.visitError(Error),2,1,2,2
mindustry.annotations.util.AnnotationProxyMaker.generateAnnotation(),0,1,1,1
"mindustry.annotations.util.AnnotationProxyMaker.generateAnnotation(Compound, Class<A>)",0,1,1,1
"mindustry.annotations.util.AnnotationProxyMaker.generateValue(MethodSymbol, Attribute)",0,1,1,1
mindustry.annotations.util.AnnotationProxyMaker.getAllReflectedValues(),3,1,3,3
mindustry.annotations.util.AnnotationProxyMaker.getAllValues(),7,1,5,5
mindustry.annotations.util.AnnotationProxyMaker.mirrorProxy(List<Type>),0,1,1,1
mindustry.annotations.util.AnnotationProxyMaker.mirrorProxy(Type),0,1,1,1
mindustry.annotations.util.AnnotationProxyMaker.proxify(Prov<T>),1,1,1,2
mindustry.annotations.util.Selement.Selement(T),0,1,1,1
mindustry.annotations.util.Selement.annotation(Class<A>),2,1,2,3
mindustry.annotations.util.Selement.annotations(),0,1,1,1
mindustry.annotations.util.Selement.asMethod(),0,1,1,1
mindustry.annotations.util.Selement.asType(),0,1,1,1
mindustry.annotations.util.Selement.asVar(),0,1,1,1
mindustry.annotations.util.Selement.cname(),0,1,1,1
mindustry.annotations.util.Selement.doc(),0,1,1,1
mindustry.annotations.util.Selement.enclosed(),0,1,1,1
mindustry.annotations.util.Selement.equals(Object),1,1,3,3
mindustry.annotations.util.Selement.fullName(),0,1,1,1
mindustry.annotations.util.Selement.has(Class<A>),0,1,1,1
mindustry.annotations.util.Selement.hashCode(),0,1,1,1
mindustry.annotations.util.Selement.isMethod(),0,1,1,1
mindustry.annotations.util.Selement.isType(),0,1,1,1
mindustry.annotations.util.Selement.isVar(),0,1,1,1
mindustry.annotations.util.Selement.mirror(),0,1,1,1
mindustry.annotations.util.Selement.name(),0,1,1,1
mindustry.annotations.util.Selement.tname(),0,1,1,1
mindustry.annotations.util.Selement.toString(),0,1,1,1
mindustry.annotations.util.Selement.up(),0,1,1,1
mindustry.annotations.util.Smethod.Smethod(ExecutableElement),0,1,1,1
mindustry.annotations.util.Smethod.descString(),0,1,1,1
mindustry.annotations.util.Smethod.is(Modifier),0,1,1,1
mindustry.annotations.util.Smethod.isAny(Modifier...),3,3,2,3
mindustry.annotations.util.Smethod.isVoid(),0,1,1,1
mindustry.annotations.util.Smethod.params(),0,1,1,1
mindustry.annotations.util.Smethod.ret(),0,1,1,1
mindustry.annotations.util.Smethod.retn(),0,1,1,1
mindustry.annotations.util.Smethod.simpleString(),0,1,1,1
mindustry.annotations.util.Smethod.thrown(),0,1,1,1
mindustry.annotations.util.Smethod.thrownt(),0,1,1,1
mindustry.annotations.util.Smethod.tree(),0,1,1,1
mindustry.annotations.util.Smethod.type(),0,1,1,1
mindustry.annotations.util.Smethod.typeVariables(),0,1,1,1
mindustry.annotations.util.Stype.Stype(TypeElement),0,1,1,1
mindustry.annotations.util.Stype.allInterfaces(),0,1,1,1
mindustry.annotations.util.Stype.allSuperclasses(),0,1,1,1
mindustry.annotations.util.Stype.constructors(),1,1,2,2
mindustry.annotations.util.Stype.fields(),0,1,1,1
mindustry.annotations.util.Stype.fullName(),0,1,1,1
mindustry.annotations.util.Stype.interfaces(),0,1,1,1
mindustry.annotations.util.Stype.isInterface(),0,1,1,1
mindustry.annotations.util.Stype.methods(),1,1,2,2
mindustry.annotations.util.Stype.mirror(),0,1,1,1
mindustry.annotations.util.Stype.of(TypeMirror),0,1,1,1
mindustry.annotations.util.Stype.superclass(),0,1,1,1
mindustry.annotations.util.Stype.superclasses(),0,1,1,1
mindustry.annotations.util.Svar.Svar(VariableElement),0,1,1,1
mindustry.annotations.util.Svar.descString(),0,1,1,1
mindustry.annotations.util.Svar.enclosingType(),0,1,1,1
mindustry.annotations.util.Svar.is(Modifier),0,1,1,1
mindustry.annotations.util.Svar.isAny(Modifier...),3,3,2,3
mindustry.annotations.util.Svar.tree(),0,1,1,1
"mindustry.annotations.util.TypeIOResolver.ClassSerializer.ClassSerializer(ObjectMap<String, String>, ObjectMap<String, String>, ObjectMap<String, String>, ObjectMap<String, String>)",0,1,1,1
"mindustry.annotations.util.TypeIOResolver.ClassSerializer.getNetWriter(String, String)",0,1,1,1
mindustry.annotations.util.TypeIOResolver.fix(String),0,1,1,1
mindustry.annotations.util.TypeIOResolver.resolve(BaseProcessor),21,1,14,15
mindustry.async.AsyncCore.AsyncCore(),4,1,3,3
mindustry.async.AsyncCore.begin(),10,1,6,6
mindustry.async.AsyncCore.complete(),3,2,2,3
mindustry.async.AsyncCore.end(),3,1,3,3
mindustry.async.AsyncProcess.begin(),0,1,1,1
mindustry.async.AsyncProcess.end(),0,1,1,1
mindustry.async.AsyncProcess.init(),0,1,1,1
mindustry.async.AsyncProcess.process(),0,1,1,1
mindustry.async.AsyncProcess.reset(),0,1,1,1
mindustry.async.AsyncProcess.shouldProcess(),0,1,1,1
mindustry.async.AvoidanceProcess.begin(),13,2,6,8
mindustry.async.AvoidanceProcess.getAvoidance(),1,1,1,2
mindustry.async.AvoidanceProcess.init(),0,1,1,1
mindustry.async.AvoidanceProcess.process(),14,2,6,12
mindustry.async.AvoidanceProcess.reset(),0,1,1,1
mindustry.async.AvoidanceProcess.shouldProcess(),0,1,1,1
"mindustry.async.PhysicsProcess.PhysicRef.PhysicRef(Physicsc, PhysicsBody)",0,1,1,1
mindustry.async.PhysicsProcess.PhysicsWorld.PhysicsBody.hitbox(Rect),0,1,1,1
mindustry.async.PhysicsProcess.PhysicsWorld.PhysicsWorld(Rect),1,1,1,2
mindustry.async.PhysicsProcess.PhysicsWorld.add(PhysicsBody),0,1,1,1
mindustry.async.PhysicsProcess.PhysicsWorld.remove(PhysicsBody),0,1,1,1
mindustry.async.PhysicsProcess.PhysicsWorld.update(),26,7,7,13
mindustry.async.PhysicsProcess.begin(),10,5,5,9
mindustry.async.PhysicsProcess.end(),2,2,2,3
mindustry.async.PhysicsProcess.init(),0,1,1,1
mindustry.async.PhysicsProcess.process(),2,2,1,3
mindustry.async.PhysicsProcess.reset(),1,1,2,2
mindustry.audio.SoundControl.SoundControl(),5,1,4,4
mindustry.audio.SoundControl.isDark(),3,3,2,4
"mindustry.audio.SoundControl.loop(Sound, Position, float)",1,2,1,2
"mindustry.audio.SoundControl.loop(Sound, float)",1,2,1,2
mindustry.audio.SoundControl.play(Music),15,3,9,12
mindustry.audio.SoundControl.playOnce(Music),2,2,3,4
mindustry.audio.SoundControl.playRandom(),3,1,3,3
mindustry.audio.SoundControl.reload(),3,1,3,3
mindustry.audio.SoundControl.setupFilters(),0,1,1,1
mindustry.audio.SoundControl.shouldPlay(),0,1,1,1
mindustry.audio.SoundControl.silence(),0,1,1,1
mindustry.audio.SoundControl.stop(),1,1,2,2
mindustry.audio.SoundControl.update(),26,1,14,16
mindustry.audio.SoundControl.updateLoops(),13,4,7,7
"mindustry.audio.SoundLoop.SoundLoop(Sound, float)",0,1,1,1
mindustry.audio.SoundLoop.stop(),1,1,2,2
"mindustry.audio.SoundLoop.update(float, float, boolean)",0,1,1,1
"mindustry.audio.SoundLoop.update(float, float, boolean, float)",11,5,5,6
mindustry.content.Blocks.load(),10,1,8,10
mindustry.content.Bullets.load(),0,1,1,1
mindustry.content.ErekirTechTree.load(),1,1,2,2
mindustry.content.ErekirTechTree.rebalance(),20,1,11,11
mindustry.content.ErekirTechTree.rebalanceBullet(BulletType),1,1,1,2
mindustry.content.Items.load(),0,1,1,1
mindustry.content.Liquids.load(),0,1,1,1
mindustry.content.Loadouts.load(),0,1,1,1
mindustry.content.Planets.load(),0,1,1,1
"mindustry.content.Planets.makeAsteroid(String, Planet, Block, Block, int, float, int, ...)",2,1,2,2
mindustry.content.SectorPresets.load(),0,1,1,1
mindustry.content.SerpuloTechTree.load(),0,1,1,1
mindustry.content.StatusEffects.load(),6,1,3,3
mindustry.content.TeamEntries.load(),0,1,1,1
"mindustry.content.TechTree.TechNode.TechNode(TechNode, UnlockableContent, ItemStack[])",8,1,5,7
mindustry.content.TechTree.TechNode.addDatabaseTab(UnlockableContent),0,1,1,1
mindustry.content.TechTree.TechNode.addPlanet(Planet),0,1,1,1
mindustry.content.TechTree.TechNode.each(Cons<TechNode>),1,1,2,2
mindustry.content.TechTree.TechNode.icon(),1,1,1,2
mindustry.content.TechTree.TechNode.localizedName(),0,1,1,1
mindustry.content.TechTree.TechNode.remove(),1,1,2,2
mindustry.content.TechTree.TechNode.reset(),1,1,1,2
mindustry.content.TechTree.TechNode.save(),1,1,2,2
mindustry.content.TechTree.TechNode.setupRequirements(ItemStack[]),3,1,3,3
mindustry.content.TechTree.context(),0,1,1,1
mindustry.content.TechTree.node(UnlockableContent),0,1,1,1
"mindustry.content.TechTree.node(UnlockableContent, ItemStack[], Runnable)",0,1,1,1
"mindustry.content.TechTree.node(UnlockableContent, ItemStack[], Seq<Objective>, Runnable)",4,1,5,6
"mindustry.content.TechTree.node(UnlockableContent, Runnable)",0,1,1,1
"mindustry.content.TechTree.node(UnlockableContent, Seq<Objective>, Runnable)",0,1,1,1
"mindustry.content.TechTree.nodeProduce(UnlockableContent, Runnable)",0,1,1,1
"mindustry.content.TechTree.nodeProduce(UnlockableContent, Seq<Objective>, Runnable)",0,1,1,1
"mindustry.content.TechTree.nodeRoot(String, UnlockableContent, Runnable)",0,1,1,1
"mindustry.content.TechTree.nodeRoot(String, UnlockableContent, boolean, Runnable)",0,1,1,1
mindustry.content.UnitTypes.load(),30,2,17,21
mindustry.content.Weathers.load(),0,1,1,1
mindustry.core.ContentLoader.ContentLoader(),1,1,2,2
mindustry.core.ContentLoader.block(String),0,1,1,1
mindustry.core.ContentLoader.block(int),0,1,1,1
mindustry.core.ContentLoader.blocks(),0,1,1,1
mindustry.core.ContentLoader.bullet(int),0,1,1,1
mindustry.core.ContentLoader.bullets(),0,1,1,1
mindustry.core.ContentLoader.byName(String),0,1,1,1
mindustry.core.ContentLoader.createBaseContent(),0,1,1,1
mindustry.core.ContentLoader.createModContent(),1,1,2,2
mindustry.core.ContentLoader.each(Cons<Content>),1,1,2,2
mindustry.core.ContentLoader.getBy(ContentType),0,1,1,1
"mindustry.core.ContentLoader.getByID(ContentType, int)",9,5,7,9
"mindustry.core.ContentLoader.getByName(ContentType, String)",3,3,2,4
mindustry.core.ContentLoader.getContentMap(),0,1,1,1
mindustry.core.ContentLoader.getLastAdded(),0,1,1,1
mindustry.core.ContentLoader.handleContent(Content),0,1,1,1
mindustry.core.ContentLoader.handleMappableContent(MappableContent),7,2,4,6
mindustry.core.ContentLoader.init(),1,1,2,2
mindustry.core.ContentLoader.initialize(Cons<Content>),12,5,5,6
mindustry.core.ContentLoader.item(String),0,1,1,1
mindustry.core.ContentLoader.item(int),0,1,1,1
mindustry.core.ContentLoader.items(),0,1,1,1
mindustry.core.ContentLoader.liquid(String),0,1,1,1
mindustry.core.ContentLoader.liquid(int),0,1,1,1
mindustry.core.ContentLoader.liquids(),0,1,1,1
mindustry.core.ContentLoader.load(),0,1,1,1
mindustry.core.ContentLoader.loadColors(),7,4,3,5
mindustry.core.ContentLoader.logContent(),7,4,5,5
mindustry.core.ContentLoader.planet(String),0,1,1,1
mindustry.core.ContentLoader.planets(),0,1,1,1
mindustry.core.ContentLoader.removeLast(),4,1,4,4
mindustry.core.ContentLoader.sector(String),0,1,1,1
mindustry.core.ContentLoader.sectors(),0,1,1,1
mindustry.core.ContentLoader.setCurrentMod(LoadedMod),0,1,1,1
mindustry.core.ContentLoader.setTemporaryMapper(MappableContent[][]),0,1,1,1
mindustry.core.ContentLoader.statusEffect(String),0,1,1,1
mindustry.core.ContentLoader.statusEffects(),0,1,1,1
mindustry.core.ContentLoader.transformName(String),1,1,1,2
mindustry.core.ContentLoader.unit(String),0,1,1,1
mindustry.core.ContentLoader.unit(int),0,1,1,1
mindustry.core.ContentLoader.unitCommand(String),0,1,1,1
mindustry.core.ContentLoader.unitCommand(int),0,1,1,1
mindustry.core.ContentLoader.unitCommands(),0,1,1,1
mindustry.core.ContentLoader.unitStance(String),0,1,1,1
mindustry.core.ContentLoader.unitStance(int),0,1,1,1
mindustry.core.ContentLoader.unitStances(),0,1,1,1
mindustry.core.ContentLoader.units(),0,1,1,1
mindustry.core.ContentLoader.weather(String),0,1,1,1
mindustry.core.ContentLoader.weathers(),0,1,1,1
mindustry.core.Control.Control(),113,2,43,50
mindustry.core.Control.checkAutoUnlocks(),6,2,7,8
mindustry.core.Control.createPlayer(),4,1,3,4
mindustry.core.Control.dispose(),5,1,9,9
mindustry.core.Control.forcePlaceAll(),1,1,2,2
mindustry.core.Control.init(),6,1,3,3
mindustry.core.Control.isHighScore(),0,1,1,1
mindustry.core.Control.loadAsync(),0,1,1,1
mindustry.core.Control.loadSync(),0,1,1,1
mindustry.core.Control.pause(),4,1,4,4
mindustry.core.Control.placeLandBuild(Building),0,1,1,1
"mindustry.core.Control.playMap(Map, Rules)",0,1,1,1
"mindustry.core.Control.playMap(Map, Rules, boolean)",11,1,7,8
"mindustry.core.Control.playNewSector(Sector, Sector, WorldReloader)",0,1,1,1
"mindustry.core.Control.playNewSector(Sector, Sector, WorldReloader, WorldParams, Runnable)",1,1,2,2
mindustry.core.Control.playSector(Sector),0,1,1,1
"mindustry.core.Control.playSector(Sector, Sector)",0,1,1,1
"mindustry.core.Control.playSector(Sector, Sector, WorldReloader)",86,1,28,32
mindustry.core.Control.resume(),2,1,5,5
mindustry.core.Control.setInput(InputHandler),1,1,2,2
mindustry.core.Control.update(),58,2,47,50
"mindustry.core.FileTree.addFile(String, Fi)",0,1,1,1
mindustry.core.FileTree.clear(),0,1,1,1
mindustry.core.FileTree.get(String),0,1,1,1
"mindustry.core.FileTree.get(String, boolean)",5,4,4,5
mindustry.core.FileTree.loadMusic(String),3,2,1,3
mindustry.core.FileTree.loadSound(String),3,2,1,3
mindustry.core.FileTree.resolve(String),0,1,1,1
mindustry.core.GameState.boss(),0,1,1,1
mindustry.core.GameState.getPlanet(),1,1,1,2
mindustry.core.GameState.getSector(),0,1,1,1
mindustry.core.GameState.getState(),0,1,1,1
mindustry.core.GameState.hasSector(),0,1,1,1
mindustry.core.GameState.hasSpawns(),3,1,4,4
mindustry.core.GameState.is(State),0,1,1,1
mindustry.core.GameState.isCampaign(),0,1,1,1
mindustry.core.GameState.isEditor(),0,1,1,1
mindustry.core.GameState.isGame(),0,1,1,1
mindustry.core.GameState.isMenu(),0,1,1,1
mindustry.core.GameState.isPaused(),0,1,1,1
mindustry.core.GameState.isPlaying(),0,1,1,1
mindustry.core.GameState.set(State),1,2,1,2
mindustry.core.Logic.Logic(),75,3,30,37
mindustry.core.Logic.checkGameState(),38,1,29,33
"mindustry.core.Logic.checkOverlappingPlans(Team, Tile)",3,1,3,3
mindustry.core.Logic.dispose(),1,1,2,2
mindustry.core.Logic.gameOver(Team),0,1,1,1
mindustry.core.Logic.isWaitingWave(),3,1,1,4
mindustry.core.Logic.play(),17,1,10,12
mindustry.core.Logic.researched(Content),2,2,2,3
mindustry.core.Logic.reset(),0,1,1,1
mindustry.core.Logic.runWave(),1,1,2,2
mindustry.core.Logic.sectorCapture(),3,2,3,4
mindustry.core.Logic.skipWave(),0,1,1,1
mindustry.core.Logic.update(),106,1,36,43
mindustry.core.Logic.updateGameOver(Team),1,1,2,2
